date,close,high,low,open,volume,divCash,sector,industry,VIX_high,10Y_bonds,eps,trailing_eps_1Y,epsQoQ,surprise_%,expected_growth,previous_surprise,days_after_earn_report,Amount,dividends_change,prev_div_change,days_after_divid_report,10Y_bond_MoM,DividendsYield,peRatio,trailingPEG1Y,future_30dprice_change
2023-02-09,150.6405626818,154.0953008463,150.1912470246,153.5411448691,56007143,0.0,Technology,Consumer Electronics,21.08,3.683000087738037,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,7.0,0.17,-0.2608695652173913,0.0454545454545455,51.0,0.017122351659168755,0.0011285141065165377,25.575647314397283,-244.1311789101557,0.0011335328091977015
2023-02-08,151.688965882,154.3449206559,150.9381094948,153.6459851891,64120079,0.0,Technology,Consumer Electronics,20.12,3.6530001163482666,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,6.0,0.17,-0.2608695652173913,0.0454545454545455,50.0,0.03866936535441079,0.0011207143447219774,25.753644462139217,-245.8302425931469,0.02147451772390574
2023-02-07,154.4148142026,154.9939321608,150.410912457,150.410912457,83322551,0.0,Technology,Consumer Electronics,19.99,3.6740000247955322,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,5.0,0.17,-0.2608695652173913,0.0454545454545455,49.0,0.02942001090085289,0.0011009306385393273,26.216437046281836,-250.2478081690537,0.025398859171259724
2023-02-06,151.4992548268,152.8671713832,150.5506995504,152.3429697831,69858306,0.0,Technology,Consumer Electronics,19.81,3.634000062942505,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,4.0,0.17,-0.2608695652173913,0.0454545454545455,48.0,-0.0231182701629854,0.001122117730508647,25.721435454465198,-245.52279297444036,-0.008966737575717865
2023-02-03,154.2650423168,157.1406625231,147.6051857974,147.8048816451,154357337,0.0,Technology,Consumer Electronics,19.3,3.5320000648498535,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,1.0,0.17,-0.2608695652173913,0.0454545454545455,45.0,-0.04772176880482293,0.0011019995032373348,26.191008882309,-250.00508478567664,0.017579434807387884
2023-02-02,150.5906387199,150.9500912457,147.9446687384,148.6735585824,118338980,0.0,Technology,Consumer Electronics,19.25,3.3959999084472656,1.88,5.89,-0.10476190476190483,-0.0259,-0.23404255319148934,0.023799999999999998,0.0,0.17,-0.2608695652173913,0.0454545454545455,44.0,-0.10466651098953772,0.0011288882326623345,25.567171259745333,-244.05027111575075,-0.021058059416888875
2023-02-01,145.2088356255,146.3870411267,141.1050859561,143.7510559376,77663633,0.0,Technology,Consumer Electronics,20.04,3.3970000743865967,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,97.0,0.17,-0.2608695652173913,0.0454545454545455,43.0,-0.12425879879198798,0.0011707276576367399,23.765766878150572,589.3910185781347,-0.038543099877507814
2023-01-31,144.0705692938,144.1204932558,142.0636260249,142.4829873049,65874459,0.0,Technology,Consumer Electronics,20.7,3.5290000438690186,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,96.0,0.17,-0.2608695652173913,0.0454545454545455,42.0,-0.07979139275988367,0.0011799772905271354,23.579471242847788,584.7708868226257,-0.012606611652388522
2023-01-30,142.7825310764,145.3286531341,142.6327591907,144.7345579873,64015274,0.0,Technology,Consumer Electronics,20.25,3.5510001182556152,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,95.0,0.17,-0.2608695652173913,0.0454545454545455,41.0,-0.08644197540859921,0.0011906218409101915,23.36866302396072,579.5428429942264,-0.017393633773312156
2023-01-27,145.7080752446,147.0060982544,142.8624094155,142.9372953584,70555843,0.0,Technology,Consumer Electronics,19.0,3.5179998874664307,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,92.0,0.17,-0.2608695652173913,0.0454545454545455,38.0,-0.08860104065388952,0.001166716393134843,23.847475490114565,591.4173921548418,-0.011545517640594305
2023-01-26,143.7410711452,144.0306301243,141.6842039143,142.9522725469,54105068,0.0,Technology,Consumer Electronics,19.48,3.493000030517578,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,91.0,0.17,-0.2608695652173913,0.0454545454545455,37.0,-0.06878163209501864,0.0011826821565026084,23.52554355895254,583.4334802620235,-0.028251276736073416
2023-01-25,141.6442647448,142.2133979106,138.598903068,140.6757398836,65799349,0.0,Technology,Consumer Electronics,20.9,3.4619998931884766,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,90.0,0.17,-0.2608695652173913,0.0454545454545455,36.0,-0.05641864873911395,0.0012001897874671342,23.182367388674304,574.9227112391233,-0.034528902291595664
2023-01-24,142.3132458344,142.9422877546,140.086637133,140.0916295292,66435142,0.0,Technology,Consumer Electronics,20.47,3.4690001010894775,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,89.0,0.17,-0.2608695652173913,0.0454545454545455,35.0,-0.058360454201629164,0.0011945479776198568,23.291856928707034,577.638051831935,-0.04743476683801884
2023-01-23,140.8954053161,143.0970520365,137.6902869611,137.9099523935,81760313,0.0,Technology,Consumer Electronics,20.33,3.5250000953674316,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,88.0,0.17,-0.2608695652173913,0.0454545454545455,34.0,-0.04315958719674118,0.0012065687991642,23.05980447072013,571.8831508738598,-0.0538217358397689
2023-01-20,137.660332584,137.8101044697,134.0158833642,135.0742713568,80223626,0.0,Technology,Consumer Electronics,20.7,3.4839999675750732,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,85.0,0.17,-0.2608695652173913,0.0454545454545455,31.0,-0.027087439162817195,0.0012349236472770136,22.530332665139117,558.7522500954506,-0.07286952731681029
2023-01-19,135.0642865644,136.0427962179,133.566567707,133.8760962708,58280413,0.0,Technology,Consumer Electronics,21.71,3.3970000743865967,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,84.0,0.17,-0.2608695652173913,0.0454545454545455,30.0,-0.024411268064297942,0.0012586598894811644,22.105447882880522,548.2151074954375,-0.11462283471386447
2023-01-18,135.0043778101,138.3992072203,134.8246515472,136.6069369876,69672800,0.0,Technology,Consumer Electronics,20.58,3.375,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,83.0,0.17,-0.2608695652173913,0.0454545454545455,29.0,-0.02173914395568488,0.001259218425043413,22.095642849443536,547.9719426662002,-0.12169424363997139
2023-01-17,135.7332676541,137.0812146258,133.9260202327,134.6249556995,63646627,0.0,Technology,Consumer Electronics,20.22,3.5350000858306885,1.29,6.11,0.040322580645161255,0.023799999999999998,0.4961240310077519,0.0526,82.0,0.17,-0.2608695652173913,0.0454545454545455,28.0,0.009135045577560064,0.001252456401721829,22.21493742292962,550.930448088655,-0.12616192844846474
